Bin Center,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,Kras,Kras,Kras,Kras,Kras,Kras,over,over,over,over,over,over,time,time,time,time,time,time
200,3.840100724,,4.174578169,3.854928132,5.970281486,,3.840100724,1.421102104,4.174578169,3.854928132,,,,,,,,,,,,,,
400,2.203336481,,1.642251472,1.851579654,3.188086035,,2.203336481,0.560434632,1.642251472,1.851579654,,,,,,,,,,,,,,
600,1.59899276,,1.441671139,1.396273182,2.309886409,,1.59899276,0.440341497,1.441671139,1.396273182,,,,,,,,,,,,,,
800,1.347182877,,1.103191828,1.138266181,1.94089497,,1.347182877,0.400310452,1.103191828,1.138266181,,,,,,,,,,,,,,
1000,0.99464904,,0.739639976,0.834728532,1.726879935,,0.99464904,0.380294929,0.739639976,0.834728532,,,,,,,,,,,,,,
1200,0.805791627,,0.664422351,0.774021003,1.306229695,,0.805791627,0.240186271,0.664422351,0.774021003,,,,,,,,,,,,,,
1400,0.856153604,,0.676958622,0.728490356,1.018416372,,0.856153604,0.360279407,0.676958622,0.728490356,,,,,,,,,,,,,,
1600,0.856153604,,0.664422351,0.637429061,0.90771894,,0.856153604,0.220170748,0.664422351,0.637429061,,,,,,,,,,,,,,
1800,0.60434372,,0.388624394,0.561544649,0.915098769,,0.60434372,0.240186271,0.388624394,0.561544649,,,,,,,,,,,,,,
2000,0.553981744,,0.513987102,0.349068295,0.737982878,,0.553981744,0.100077613,0.513987102,0.349068295,,,,,,,,,,,,,,
2200,0.629524709,,0.551595914,0.409775825,0.627285447,,0.629524709,0.180139703,0.551595914,0.409775825,,,,,,,,,,,,,,
2400,0.365124331,,0.451305748,0.303537648,0.60514596,,0.365124331,0.100077613,0.451305748,0.303537648,,,,,,,,,,,,,,
2600,0.503619767,,0.501450831,0.318714531,0.479688871,,0.503619767,0.180139703,0.501450831,0.318714531,,,,,,,,,,,,,,
2800,0.440667296,,0.313406769,0.197299471,0.583006474,,0.440667296,0.180139703,0.313406769,0.197299471,,,,,,,,,,,,,,
3000,0.402895814,,0.213116603,0.166945706,0.472309042,,0.402895814,0.140108658,0.213116603,0.166945706,,,,,,,,,,,,,,
3200,0.365124331,,0.288334228,0.288360766,0.324712466,,0.365124331,0.08006209,0.288334228,0.288360766,,,,,,,,,,,,,,
3400,0.30217186,,0.275797957,0.424952707,0.354231782,,0.30217186,0.100077613,0.275797957,0.424952707,,,,,,,,,,,,,,
3600,0.327352849,,0.250725416,0.242830119,0.339472124,,0.327352849,0.100077613,0.250725416,0.242830119,,,,,,,,,,,,,,
3800,0.289581366,,0.263261686,0.227653236,0.214015035,,0.289581366,0.040031045,0.263261686,0.227653236,,,,,,,,,,,,,,
4000,0.251809884,,0.16297152,0.182122589,0.228774692,,0.251809884,0.160124181,0.16297152,0.182122589,,,,,,,,,,,,,,
4200,0.239219389,,0.32594304,0.258007001,0.228774692,,0.239219389,0,0.32594304,0.258007001,,,,,,,,,,,,,,
4400,0.276990872,,0.16297152,0.197299471,0.228774692,,0.276990872,0.100077613,0.16297152,0.197299471,,,,,,,,,,,,,,
4600,0.176266918,,0.225652874,0.166945706,0.191875548,,0.176266918,0.08006209,0.225652874,0.166945706,,,,,,,,,,,,,,
4800,0.15108593,,0.16297152,0.212476354,0.154976404,,0.15108593,0.120093136,0.16297152,0.212476354,,,,,,,,,,,,,,
5000,0.251809884,,0.100290166,0.288360766,0.280433494,,0.251809884,0.040031045,0.100290166,0.288360766,,,,,,,,,,,,,,
5200,0.201447907,,0.16297152,0.212476354,0.236154521,,0.201447907,0.120093136,0.16297152,0.212476354,,,,,,,,,,,,,,
5400,0.289581366,,0.225652874,0.06070753,0.206635206,,0.289581366,0.08006209,0.225652874,0.06070753,,,,,,,,,,,,,,
5600,0.176266918,,0.087753895,0.136591942,0.125457089,,0.176266918,0.060046568,0.087753895,0.136591942,,,,,,,,,,,,,,
5800,0.188857413,,0.175507791,0.091061294,0.125457089,,0.188857413,0.100077613,0.175507791,0.091061294,,,,,,,,,,,,,,
6000,0.163676424,,0.137898979,0.121415059,0.140216747,,0.163676424,0.060046568,0.137898979,0.121415059,,,,,,,,,,,,,,
6200,0.176266918,,0.175507791,0.136591942,0.118077261,,0.176266918,0.08006209,0.175507791,0.136591942,,,,,,,,,,,,,,
6400,0.201447907,,0.200580332,0.136591942,0.110697432,,0.201447907,0.08006209,0.200580332,0.136591942,,,,,,,,,,,,,,
6600,0.251809884,,0.137898979,0.106238177,0.18449572,,0.251809884,0.020015523,0.137898979,0.106238177,,,,,,,,,,,,,,
6800,0.100723953,,0.100290166,0.121415059,0.118077261,,0.100723953,0.040031045,0.100290166,0.121415059,,,,,,,,,,,,,,
7000,0.100723953,,0.137898979,0.166945706,0.154976404,,0.100723953,0.020015523,0.137898979,0.166945706,,,,,,,,,,,,,,
7200,0.201447907,,0.125362708,0.075884412,0.169736062,,0.201447907,0.08006209,0.125362708,0.075884412,,,,,,,,,,,,,,
7400,0.100723953,,0.062681354,0.091061294,0.103317603,,0.100723953,0.040031045,0.062681354,0.091061294,,,,,,,,,,,,,,
7600,0.188857413,,0.100290166,0.136591942,0.110697432,,0.188857413,0.020015523,0.100290166,0.136591942,,,,,,,,,,,,,,
7800,0.125904942,,0.050145083,0.030353765,0.110697432,,0.125904942,0,0.050145083,0.030353765,,,,,,,,,,,,,,
8000,0.138495436,,0.037608812,0.106238177,0.140216747,,0.138495436,0.020015523,0.037608812,0.106238177,,,,,,,,,,,,,,
8200,0.062952471,,0.075217625,0.045530647,0.118077261,,0.062952471,0.060046568,0.075217625,0.045530647,,,,,,,,,,,,,,
8400,0.113314448,,0.062681354,0.030353765,0.125457089,,0.113314448,0.060046568,0.062681354,0.030353765,,,,,,,,,,,,,,
8600,0.062952471,,0.037608812,0.030353765,0.118077261,,0.062952471,0,0.037608812,0.030353765,,,,,,,,,,,,,,
8800,0.062952471,,0.025072542,0.06070753,0.132836918,,0.062952471,0.020015523,0.025072542,0.06070753,,,,,,,,,,,,,,
9000,0.062952471,,0.112826437,0.06070753,0.095937774,,0.062952471,0.040031045,0.112826437,0.06070753,,,,,,,,,,,,,,
9200,0.050361977,,0.125362708,0.075884412,0.088557945,,0.050361977,0.08006209,0.125362708,0.075884412,,,,,,,,,,,,,,
9400,0.100723953,,0.050145083,0.015176882,0.095937774,,0.100723953,0.020015523,0.050145083,0.015176882,,,,,,,,,,,,,,
9600,0.075542965,,0.100290166,0.030353765,0.103317603,,0.075542965,0.040031045,0.100290166,0.030353765,,,,,,,,,,,,,,
9800,0.037771483,,0.087753895,0.06070753,0.103317603,,0.037771483,0,0.087753895,0.06070753,,,,,,,,,,,,,,
10000,0.113314448,,0.037608812,0.030353765,0.066418459,,0.113314448,0,0.037608812,0.030353765,,,,,,,,,,,,,,
10200,0.100723953,,0.050145083,0.045530647,0.044278973,,0.100723953,0.040031045,0.050145083,0.045530647,,,,,,,,,,,,,,
10400,0.113314448,,0.062681354,0.045530647,0.036899144,,0.113314448,0,0.062681354,0.045530647,,,,,,,,,,,,,,
10600,0.075542965,,0.050145083,0.030353765,0.044278973,,0.075542965,0.040031045,0.050145083,0.030353765,,,,,,,,,,,,,,
10800,0.062952471,,0.100290166,0.121415059,0.051658801,,0.062952471,0.040031045,0.100290166,0.121415059,,,,,,,,,,,,,,
11000,0.050361977,,0.087753895,0,0.073798288,,0.050361977,0,0.087753895,0,,,,,,,,,,,,,,
11200,0.100723953,,0.075217625,0.015176882,0.05903863,,0.100723953,0,0.075217625,0.015176882,,,,,,,,,,,,,,
11400,0.075542965,,0.050145083,0.030353765,0.014759658,,0.075542965,0.020015523,0.050145083,0.030353765,,,,,,,,,,,,,,
11600,0.050361977,,0.062681354,0.030353765,0.088557945,,0.050361977,0,0.062681354,0.030353765,,,,,,,,,,,,,,
11800,0.075542965,,0.087753895,0.030353765,0.05903863,,0.075542965,0,0.087753895,0.030353765,,,,,,,,,,,,,,
12000,0.050361977,,0.025072542,0.075884412,0.051658801,,0.050361977,0.020015523,0.025072542,0.075884412,,,,,,,,,,,,,,
12200,0.025180988,,0.050145083,0.045530647,0.051658801,,0.025180988,0,0.050145083,0.045530647,,,,,,,,,,,,,,
12400,0.050361977,,0.062681354,0.015176882,0.029519315,,0.050361977,0.040031045,0.062681354,0.015176882,,,,,,,,,,,,,,
12600,0.100723953,,0.025072542,0.045530647,0.051658801,,0.100723953,0.040031045,0.025072542,0.045530647,,,,,,,,,,,,,,
12800,0.050361977,,0.050145083,0.015176882,0.044278973,,0.050361977,0.08006209,0.050145083,0.015176882,,,,,,,,,,,,,,
