Bin Center,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,p53 het,p53 het,p53 het,p53 het,p53 het,p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het
200,3.442642,6.080789,5.494739,7.64898,6.971784,,6.198939,6.489159,6.716926,11.06934924,,,,,,,,,2.382784322,4.080703954,1.095567004,2.907523009,,
400,1.899389,3.259303,3.220528,4.674697,4.650099,,2.768859,4.827172,4.14869,5.771199178,,,,,,,,,1.40895073,2.288502893,0.626038288,2.299413622,,
600,2.097241,1.897206,2.396317,3.452705,3.344572,,2.355597,3.451005,3.340503,4.436149459,,,,,,,,,1.181032229,2.260930569,0.69125061,1.947850382,,
800,2.374236,2.335023,2.365791,2.812888,2.987908,,1.818355,2.900538,2.783753,3.490051233,,,,,,,,,1.222471957,1.874918033,0.626038288,1.9668538,,
1000,1.701536,1.605328,2.45737,2.380579,2.261119,,1.239788,2.424172,2.622116,2.438830982,,,,,,,,,1.098152775,1.544050145,0.547783502,1.729311071,,
1200,1.582824,1.118865,1.480527,2.098138,1.850618,,1.157135,2.106595,1.867808,2.34422116,,,,,,,,,0.953113729,0.909886692,0.639080752,1.491768341,,
1400,1.3454,1.118865,1.434738,1.711942,1.520872,,0.950504,1.958392,1.831889,2.165513717,,,,,,,,,0.994553456,1.130465285,0.456486252,1.38724954,,
1600,1.147547,0.92428,1.419474,1.446793,1.54779,,0.743873,1.746674,1.562494,1.734513414,,,,,,,,,1.01527332,1.020175989,0.547783502,1.311235867,,
1800,1.028835,0.875634,0.946316,1.417972,1.332445,,0.785199,1.227965,1.221259,1.618879187,,,,,,,,,0.683755501,0.882314368,0.508656109,1.168710229,,
2000,0.791412,0.92428,0.91579,0.835797,0.915215,,0.578568,1.090348,1.023703,1.156342276,,,,,,,,,0.787354819,0.937459016,0.456486252,1.035686301,,
